Category	P	BF	FDR
OPC	0.00269381299534978	0.05118244691164582	0.05118244691164582
SST	0.0110420306650128	0.2097985826352432	0.07868787094752816
Oligo	0.0124244006759255	0.2360636128425845	0.07868787094752816
Micro	0.024570496612932	0.466839435645708	0.116709858911427
MGE_dev	0.0562907421790961	1	0.21390482028056515
CGE_dev	0.110441351659556	1	0.3497309469219273
Astro	0.135559769754355	1	0.3679479464761064
PV	0.186024447563315	1	0.3931606972332165
Vas	0.186234014478892	1	0.3931606972332165
ID2	0.238179014663636	1	0.45254012786090836
Poor-Quality	0.355244347284279	1	0.5754584623096943
VIP	0.363447449879807	1	0.5754584623096943
LAMP5_NOS1	0.482898358568384	1	0.7057745240614842
L2-3_CUX2	0.572899778235508	1	0.7775068418910466
PV_SCUBE3	0.637047729427608	1	0.7986115024141482
L4_RORB	0.672514949401388	1	0.7986115024141482
L5-6_THEMIS	0.865025173990323	1	0.9667928415185962
L5-6_TLE4	0.973905979775054	1	0.977047501357503
PN_dev	0.977047501357503	1	0.977047501357503
