Category	P	BF	FDR
MGE_dev	0.00118400340342809	0.02249606466513371	0.02249606466513371
CGE_dev	0.00568815772222241	0.10807499672222579	0.044342391624771126
Micro	0.00700143025654281	0.1330271748743134	0.044342391624771126
SST	0.0147655180473864	0.2805448429003416	0.06681284125149703
OPC	0.0175823266451308	0.3340642062574852	0.06681284125149703
Oligo	0.0275509774904729	0.5234685723189851	0.07879426557896181
Vas	0.0290294662659333	0.5515598590527327	0.07879426557896181
Poor-Quality	0.0949592648483306	1	0.20417758164550517
ID2	0.0967156965689235	1	0.20417758164550517
Astro	0.122950554484226	1	0.2336060535200294
PV	0.138444867900642	1	0.23913204455565437
VIP	0.161116915693989	1	0.25510178318214927
LAMP5_NOS1	0.179616545107593	1	0.26251648900340513
PV_SCUBE3	0.30147607598356	1	0.4091461031205458
L4_RORB	0.476112067004518	1	0.6030752848723895
L2-3_CUX2	0.624219254163073	1	0.7412603643186492
L5-6_THEMIS	0.751639461812071	1	0.8400676337899617
PN_dev	0.868352939821589	1	0.9165947698116773
L5-6_TLE4	0.926082824819161	1	0.926082824819161
