Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro_dev-1.lvl2.100UP_100DOWN	0.06266751146882678	0.07438112455914192	0.017228435862530936	1.1869168380196802	0.27491814273016124	0.49752718202852075	2.6925699231266492e-09	8.502159109395013e-09	0.3166924881647203
Astro_dev-2.lvl2.100UP_100DOWN	0.06684253850635422	0.09241036144676996	0.017432252301108727	1.3825082576417294	0.2607957849992722	0.1554117733203421	7.788017875527143e-09	8.191787840817227e-09	0.9507103976401562
Astro_dev-3.lvl2.100UP_100DOWN	0.046686558771540904	0.05544186326898798	0.015620473978599263	1.1875337297891426	0.3345818237544027	0.576897940695182	3.0934329767497875e-09	1.016204750966704e-08	0.3044104029042415
Astro_dev-4.lvl2.100UP_100DOWN	0.06504070768788418	0.10280101477237115	0.01830954334170729	1.5805642101203794	0.2815089809534468	0.0402967696283701	1.4587340480940342e-08	8.643368570388812e-09	1.6876915940984971
Astro_dev-5.lvl2.100UP_100DOWN	0.030043822015148398	0.040369897958368726	0.011342990355024021	1.3437004765243856	0.37754818109709115	0.3576273861828051	7.055318342972712e-09	1.1536283851894497e-08	0.6115763475960313
Astro_GFAP.lvl2.100UP_100DOWN	0.06489157561474203	0.06868754615301709	0.016813144897469545	1.058497123891883	0.2590959571900107	0.8213790801245027	-5.784200663205676e-10	7.984609406473326e-09	-0.07244187371916123
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.06186196342020067	0.08062426769904216	0.01585695003988238	1.3032930615440952	0.25632794633712486	0.24375867874174922	6.820617435423389e-09	8.01916286853707e-09	0.8505398315557182
Astro_SLC1A2.lvl2.100UP_100DOWN	0.06754760273966857	0.08413540822508765	0.016887996021844518	1.245572082688844	0.25001621577795435	0.3305311652730524	4.504498704322173e-09	7.792670198690386e-09	0.5780430313962455
BKGR_NRGN.lvl2.100UP_100DOWN	0.04104805793638452	0.057150787761303175	0.013986148815937186	1.3922896876113933	0.34072620043590485	0.2594660545957918	1.0994530173896206e-08	1.0171737784662638e-08	1.0808900511055455
CCK_RELN.lvl2.100UP_100DOWN	0.08154790033280442	0.12483272140051488	0.018805048106495244	1.5307901355039328	0.23060125435173842	0.029631914177084634	1.6166938114433445e-08	7.789478353630407e-09	2.0754840543203503
CCK_SORCS1.lvl2.100UP_100DOWN	0.08710822845020574	0.11069398920038159	0.01694487472040793	1.2707638666266567	0.1945266827472475	0.1684000099580021	8.08578097925932e-09	6.321862121021176e-09	1.2790188752097011
