Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Astro.lvl1.100UP_100DOWN	0.15053314296766787	0.16668568920472035	0.011184144384950537	1.1073022586163752	0.07429689013636494	0.14713017035475556	-5.338183129038704e-09	4.399140546809313e-09	-1.2134604639786915
CGE_dev.lvl1.100UP_100DOWN	0.12755992584663486	0.17632847482813738	0.011427131817504177	1.3823187310420428	0.08958245892399627	2.2545841126842583e-05	1.2390734701485576e-08	5.107856094436582e-09	2.425819066238264
ID2.lvl1.100UP_100DOWN	0.16442859517754851	0.17023274525599724	0.01010357875098353	1.0352989093665943	0.061446603859102354	0.5659982406916579	-2.166392308979247e-09	3.5464850758924848e-09	-0.6108561752326187
L2-3_CUX2.lvl1.100UP_100DOWN	0.16216762545672747	0.19471884737095574	0.010598123719372384	1.2007257726229343	0.06535289450976371	0.0026650499907394406	8.382244231137527e-09	3.836796523278367e-09	2.1846986620951387
L4_RORB.lvl1.100UP_100DOWN	0.15903383888938377	0.2091449458290764	0.01067935855658027	1.3150971346076068	0.06715148569109441	8.834347522482995e-06	1.3905035031725904e-08	4.008210601192008e-09	3.4691378311285996
L5-6_THEMIS.lvl1.100UP_100DOWN	0.15287178214840436	0.1938149469889283	0.011694173139190907	1.2678268302045257	0.0764966102628311	0.0005823854404815632	9.224733486872554e-09	4.4881839711456756e-09	2.055337647961388
L5-6_TLE4.lvl1.100UP_100DOWN	0.16502495571750392	0.18331252489721922	0.010575131593518148	1.1108169918919455	0.06408201442950887	0.08824353666973482	2.0004356361912243e-09	3.780742060838613e-09	0.5291119055467921
LAMP5_NOS1.lvl1.100UP_100DOWN	0.16203392662400046	0.18532060486732965	0.009993923288214109	1.1437148301501445	0.06167796767281334	0.01934885843995303	1.4028755176167145e-09	3.558055497249265e-09	0.3942815166040211
MGE_dev.lvl1.100UP_100DOWN	0.1364654088240223	0.19450207006137812	0.010641050293581613	1.4252847790328789	0.07797617275527809	1.7261213674005912e-07	1.4297186242421731e-08	4.553376391746498e-09	3.139908720995913
Micro.lvl1.100UP_100DOWN	0.13691179852776952	0.13042623414494914	0.009217431669579886	0.9526296166396139	0.06732386666960871	0.48106711639827915	-1.31575069599102e-08	3.997963780875081e-09	-3.2910520657669045
Oligo.lvl1.100UP_100DOWN	0.14709119484986058	0.17215388759188235	0.010117682250410548	1.1703888038138779	0.06878509798453879	0.01490737067140197	-1.8177577876430334e-09	4.189355747502587e-09	-0.4338991236842703
OPC.lvl1.100UP_100DOWN	0.17147303066400343	0.19998864547817147	0.010044571544325854	1.166297957782315	0.05857814202868968	0.005469268983460092	1.4054620053191051e-09	3.5047176301247383e-09	0.40102004031322847
PN_dev.lvl1.100UP_100DOWN	0.12623132515002536	0.16762664165460123	0.009179370709823048	1.327932202687231	0.07271864332338591	1.3672243649490283e-05	9.607959279396717e-09	4.135313919180314e-09	2.323392967782521
Poor-Quality.lvl1.100UP_100DOWN	0.10420406501487378	0.13897856361466354	0.009917403681912055	1.3337153746816512	0.09517290597537124	0.0005206272468402577	8.641141424017004e-09	5.304704815033242e-09	1.6289580146907483
PV.lvl1.100UP_100DOWN	0.1600997389937091	0.18334539659279783	0.010276215132688634	1.1451948500678202	0.06418633282776572	0.023388909939463007	1.0031461327404702e-09	3.83856413423007e-09	0.2613336908441882
PV_SCUBE3.lvl1.100UP_100DOWN	0.15832978117174865	0.1938439496990996	0.010253508370208548	1.2243050439691245	0.06476045311454089	0.0007045172081891061	5.9232035063128686e-09	3.899313000910115e-09	1.519037713805065
SST.lvl1.100UP_100DOWN	0.16317984472482616	0.19835891729058125	0.011025546968842592	1.215584667488061	0.06756684311984253	0.0021185828135066283	5.299387683090819e-09	4.027910535995568e-09	1.3156666802136368
Vas.lvl1.100UP_100DOWN	0.15338829244447263	0.14041742137626337	0.010049464270099128	0.9154376721880205	0.06551650135708426	0.19218524882598517	-1.5963456313028075e-08	3.816533478493973e-09	-4.1827109346692675
VIP.lvl1.100UP_100DOWN	0.16246773488175706	0.18582753255670562	0.010717531073767512	1.1437811494814627	0.06596713545349579	0.031300141681875414	4.5533036706207585e-09	3.8485834239597395e-09	1.1831115943268147
Astro_dev-1.lvl2.100UP_100DOWN	0.13810971993868978	0.1600169441775148	0.011949050262204554	1.1586218859074522	0.08651853227643228	0.06533779852101049	-2.3084843035991274e-09	5.005359897795813e-09	-0.46120246110888125
Astro_dev-2.lvl2.100UP_100DOWN	0.13032834722241093	0.1531661023107981	0.011535156765285397	1.1752324461647132	0.08850842515174505	0.04741140410725123	-1.0609922786570939e-09	4.981654883969263e-09	-0.2129798838677722
Astro_dev-3.lvl2.100UP_100DOWN	0.12366554893100486	0.14701458690222866	0.011041333021440544	1.1888079434657313	0.0892838233193037	0.03378197835062638	-1.4428818949224402e-09	5.181275500292523e-09	-0.2784800566657724
Astro_dev-4.lvl2.100UP_100DOWN	0.12227437650966867	0.13842845691547684	0.01053949310884409	1.1321133737658504	0.08619543529637785	0.12623109743040123	-3.4949719533167144e-09	4.82599081588301e-09	-0.7241978044828169
Astro_dev-5.lvl2.100UP_100DOWN	0.09218559679418047	0.09897496592568183	0.0077794128265496	1.0736489144465784	0.08438859319768163	0.38532384665612807	-7.620139639077822e-09	4.7469250221862715e-09	-1.6052791235300037
Astro_GFAP.lvl2.100UP_100DOWN	0.14346857716762798	0.1568872900038168	0.01081667079660945	1.0935306748076998	0.07539400620089308	0.21407681481023408	-5.443346700276385e-09	4.292808179942997e-09	-1.2680153578044724
Astro_SLC1A2_dev.lvl2.100UP_100DOWN	0.13549495995661245	0.15286061545471577	0.010865882011905857	1.1281645863703273	0.08019399404513111	0.10827624368192124	-4.416807702015206e-09	4.5980152146063204e-09	-0.9605900580721264
Astro_SLC1A2.lvl2.100UP_100DOWN	0.13753147668096086	0.15587318013861273	0.010664633559905065	1.1333636771762445	0.07754322004877755	0.08520389908439374	-4.148997823693108e-09	4.5593780480174965e-09	-0.909992060319975
BKGR_NRGN.lvl2.100UP_100DOWN	0.10254264313365907	0.13315164096688137	0.009639088349263521	1.298500183902272	0.09400077913633906	0.0018146894094522889	8.718013897224637e-09	5.105307728477689e-09	1.7076372984521722
CCK_RELN.lvl2.100UP_100DOWN	0.14907184995401063	0.16809700065340158	0.008172537376266952	1.1276240330099903	0.05482280778556259	0.020456247095126806	1.2696702740312525e-09	3.1562433360171632e-09	0.4022726193327789
